"Phylum","Avg.Prevalence","Total.Prevalence"
"Acidobacteria",13.8888888888889,250
"Actinobacteria",12.1948051948052,15963
"Apicomplexa",14.08,352
"Aquificae",5,55
"Armatimonadetes",12.5,25
"Ascomycota",13.7903225806452,855
"Atribacterota",14,14
"Bacillariophyta",15,30
"Bacteroidetes",12.3558484349259,7500
"Basidiomycota",14.5714285714286,102
"Caldiserica",8,8
"Calditrichaeota",14,14
"Candidatus Micrarchaeota",1,1
"Candidatus Saccharibacteria",2.6,13
"Candidatus Thermoplasmatota",6.375,51
"Chlamydiae",3.75,60
"Chlorobi",13.2307692307692,172
"Chloroflexi",13,247
"Chrysiogenetes",9.5,19
"Ciliophora",5,5
"Coprothermobacterota",5,5
"Cossaviricota",1,1
"Crenarchaeota",2.55555555555556,92
"Cyanobacteria",11.6666666666667,70
"Deferribacteres",12.6,63
"Deinococcus-Thermus",11,385
"Dictyoglomi",6,18
"Duplornaviricota",2,2
"Elusimicrobia",12.6666666666667,38
"Euglenozoa",13,91
"Euryarchaeota",6.35680751173709,1354
"Evosea",8,16
"Fibrobacteres",15,15
"Firmicutes",12.4433781190019,12966
"Fornicata",3.5,7
"Fusobacteria",11.4333333333333,343
"Gemmatimonadetes",14.25,57
"Ignavibacteriae",14,28
"Kiritimatiellaeota",13,26
"Kitrinoviricota",1,1
"Negarnaviricota",1,3
"Nitrospirae",10.125,81
"Nucleocytoviricota",1.88888888888889,34
"Peploviricota",1,3
"Planctomycetes",13.3188405797101,919
"Preplasmiviricota",1.75,7
"Proteobacteria",10.6579030725372,33647
"Spirochaetes",10.551724137931,612
"Streptophyta",15,15
"Synergistetes",12.2222222222222,110
"Tenericutes",4.64341085271318,599
"Thaumarchaeota",2.9375,47
"Thermodesulfobacteria",5.42857142857143,38
"Thermotogae",8.77777777777778,158
"Uroviricota",1.88095238095238,237
"Verrucomicrobia",12.047619047619,253
