"Phylum","Freq"
"Acidobacteria",18
"Actinobacteria",1309
"Apicomplexa",25
"Aquificae",11
"Armatimonadetes",2
"Ascomycota",62
"Atribacterota",1
"Bacillariophyta",2
"Bacteroidetes",607
"Basidiomycota",7
"Caldiserica",1
"Calditrichaeota",1
"Candidatus Micrarchaeota",1
"Candidatus Saccharibacteria",5
"Candidatus Thermoplasmatota",8
"Chlamydiae",16
"Chlorobi",13
"Chloroflexi",19
"Chrysiogenetes",2
"Ciliophora",1
"Coprothermobacterota",1
"Cossaviricota",1
"Crenarchaeota",36
"Cyanobacteria",6
"Deferribacteres",5
"Deinococcus-Thermus",35
"Dictyoglomi",3
"Duplornaviricota",1
"Elusimicrobia",3
"Euglenozoa",7
"Euryarchaeota",213
"Evosea",2
"Fibrobacteres",1
"Firmicutes",1042
"Fornicata",2
"Fusobacteria",30
"Gemmatimonadetes",4
"Ignavibacteriae",2
"Kiritimatiellaeota",2
"Kitrinoviricota",1
"Negarnaviricota",3
"Nitrospirae",8
"Nucleocytoviricota",18
"Peploviricota",3
"Planctomycetes",69
"Preplasmiviricota",4
"Proteobacteria",3157
"Spirochaetes",58
"Streptophyta",1
"Synergistetes",9
"Tenericutes",129
"Thaumarchaeota",16
"Thermodesulfobacteria",7
"Thermotogae",18
"Uroviricota",126
"Verrucomicrobia",21
